date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2003,KOR,KRW,South Korea,3300,1220,2.704918033,0.09956,-0.09261,-0.13971,0.23889,1.2623,12278.14483,2.067734712,0.46756,0.02618,0.00087,0.66496,0.96935
4/1/2003,MEX,MXN,Mexico,23,10.53,2.184235518,-0.1121,-0.26728,-0.30531,0.00041,0.82682,7856.721475,1.948529743,0.25756,-0.12066,-0.14235,0.42671,0.68755
4/1/2003,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.46085,-0.55508,-0.57817,-0.39253,0.10928,8238.525357,1.958823469,-0.2404,-0.46885,-0.48195,-0.13822,0.01933
4/1/2003,NZL,NZD,New Zealand,3.95,1.78,2.219101124,-0.09793,-0.25558,-0.29422,0.01638,0.85598,21071.78953,2.304818127,0.08013,-0.24473,-0.26335,0.22542,0.44945
4/1/2003,PER,PEN,Peru,7.9,3.46,2.283236994,-0.07185,-0.23407,-0.27383,0.04576,0.90962,2209.633033,1.796279902,0.42598,-0.0029,-0.02749,0.61778,0.91355
4/1/2003,PHL,PHP,Philippines,65,52.5,1.238095238,-0.49671,-0.58467,-0.60623,-0.43293,0.0355,2051.22619,1.792009132,-0.22492,-0.45803,-0.47139,-0.12066,0.04011
4/1/2003,POL,PLN,Poland,6.3,3.89,1.619537275,-0.34165,-0.45671,-0.48491,-0.25823,0.35452,8293.200029,1.96029754,-0.07316,-0.35191,-0.3679,0.05151,0.24375
4/1/2003,RUS,RUB,Russia,41,31.1,1.318327974,-0.46409,-0.55776,-0.58071,-0.39619,0.1026,4803.04212,1.866200202,-0.2075,-0.44585,-0.45951,-0.1009,0.06348
4/1/2003,SGP,SGD,Singapore,3.3,1.78,1.853932584,-0.24637,-0.37808,-0.41036,-0.15087,0.55056,29578.99453,2.534178907,-0.17929,-0.42612,-0.44027,-0.06889,0.10134
4/1/2003,SWE,SEK,Sweden,30,8.34,3.597122302,0.46224,0.20668,0.14405,0.64754,2.0085,23830.51159,2.379195392,0.69613,0.18601,0.15676,0.92428,1.27609
4/1/2003,THA,THB,Thailand,59,42.7,1.381733021,-0.43832,-0.53649,-0.56055,-0.36715,0.15563,3754.728771,1.837936869,-0.15661,-0.41026,-0.42481,-0.04317,0.13177
4/1/2003,TUR,TRY,Turkey,3750000,1600500,2.343017807,-0.04755,-0.21402,-0.25481,0.07314,0.95961,0.003577369,1.736706595,0.51351,0.05831,0.03221,0.71709,1.03101
4/1/2003,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.18232,-0.32523,-0.36025,-0.0787,0.68234,16589.15247,2.183962789,0.03326,-0.2775,-0.29532,0.17224,0.38656
4/1/2003,USA,USD,United States,2.46,1,2.46,0,-0.17477,-0.21761,0.12672,1.05745,37945.761,2.759753357,0,-0.30076,-0.318,0.13451,0.34193
